,번호,제목,작성자,좋아요,주소
21,563966,엔티제는 연인에게 거짓말을 하나요?,1일1준열,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563966&referrerAllArticles=false
22,563935,INTJ분들 서프라이즈를 좋아합니까?,신두리ENFJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563935&referrerAllArticles=false
23,563926,ENTJ 와 연애중인데 이거 사랑일까요..?,드리머 INFJ,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563926&referrerAllArticles=false
24,563884,INxJ 분들께,Enfp민,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563884&referrerAllArticles=false
25,563862,인티제 내사람에 대한 조력은 어디까지...?,패들즈ENFP,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563862&referrerAllArticles=false
26,563860,엔티제분들중에 저랑 맞는분 만나보고싶네요,엔팁으로 체인지,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563860&referrerAllArticles=false
27,563758,엔티제의 나중에얘기하자는말 빈말일까요?,유닝2,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563758&referrerAllArticles=false
28,563720,인티제 여자든 남자든 환영해요,엔팁으로 체인지,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563720&referrerAllArticles=false
29,563713,나(intj)랑 결국 친해진 사람들을 보면.,snp intj,16,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563713&referrerAllArticles=false
30,563695,"영어 복습, 미루지 말고 지금 해라 VS 잠이 우선이다. 자라.",Sanggyeong ENTJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563695&referrerAllArticles=false
31,563686,애니어그램 3w4 해석해주세요,볼빨간복숭아 intj,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563686&referrerAllArticles=false
32,563618,완벽한 남친인데 한가지 스트레스받는거,INFPysk,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563618&referrerAllArticles=false
33,563610,백신패스 뭣 같네,in티제이,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563610&referrerAllArticles=false
34,563607,지금 이대로의 이 상태가 좋아요,혜원 INTJ,4,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563607&referrerAllArticles=false
35,563606,구경이 속 이경이,JUflux intj 3w2,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563606&referrerAllArticles=false
36,563595,INFP와 INTJ의 궁합은 어떤가요?,소떡NFP,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563595&referrerAllArticles=false
37,563566,인티제 여자분들 인기 없다는 게 이해가 안 되요.,테슈너 INTJㅡT,10,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563566&referrerAllArticles=false
38,563551,인티제분들의 의견 한번만 더 받고싶어서. ..,스윗슈크림 enfj,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563551&referrerAllArticles=false
39,563545,시험기간에 공부빼고 다 재미있음,게으른 블로거 ENTJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563545&referrerAllArticles=false
40,563536,Ni 주기능/부기능으로 쓰시는 분들 자주 놀라시나요,Sanggyeong ENTJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563536&referrerAllArticles=false
41,563534,인티제 언니 너무 어려워요!,ENTPj 와이,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563534&referrerAllArticles=false
42,563524,카톡 칼답 하는데 할말없게 하는 인티제는,isfp여,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563524&referrerAllArticles=false
43,563356,게시글보면 인티제 남자들 인기 진짜 많네요,볼빨간복숭아 intj,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563356&referrerAllArticles=false
44,563337,인티제 남자분들 질문이 있습니다...,스윗슈크림 enfj,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563337&referrerAllArticles=false
45,563336,Intj남친 속마음!,인간댕댕이ENFP,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563336&referrerAllArticles=false
46,563330,"INTJ 인티제 이상형, 결혼관 알려달래서 써줬더니 왜 자꾸 글삭제 하는 건데?",테슈너 INTJㅡT,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563330&referrerAllArticles=false
47,563266,자기 엠비티아이에 과한 뽕 차오르는것도 웃기지만,ENTJ 구경꾼,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563266&referrerAllArticles=false
48,563164,엔티제 남자가 자기권한으로 몰래 챙겨주는거 (펑),Entj녀자,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563164&referrerAllArticles=false
49,563138,이건 자존감 문제일까요?,재간둥이 intj,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563138&referrerAllArticles=false
50,563126,intj 질문 받아요!,재간둥이 intj,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563126&referrerAllArticles=false
51,563102,INTJ 빡치게하기,Watson INTJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563102&referrerAllArticles=false
52,563096,엔티제분께 관심이 있습니다,천명관,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=1&userDisplay=50&menuid=12&boardtype=L&articleid=563096&referrerAllArticles=false
53,563060,강유미 mbti INTJ,Watson INTJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=563060&referrerAllArticles=false
54,563024,INTJ - ENFP,사이INTJ,19,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=563024&referrerAllArticles=false
55,562972,커피사러가는데 7시에 벌써 날이 어둡네요,Sanggyeong ENTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562972&referrerAllArticles=false
56,562923,ENTJ 지인한테 잘못을 했는데요..,싱싱IXFJT남,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562923&referrerAllArticles=false
57,562902,자존감이 낮아졌다,ENTJ 7월의 첫날,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562902&referrerAllArticles=false
58,562861,"INTJ 분들, 지혜 좀 빌려주세요 ㅋㅋㅋ 연애관련",빅토리아 INFP,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562861&referrerAllArticles=false
59,562831,이거 결과 해석 좀 도와주세요ㅎㅎ,헤세이데INTJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562831&referrerAllArticles=false
60,562822,ntj,넬리치 ENFJ 9w1,11,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562822&referrerAllArticles=false
61,562781,회의/염세주의에 빠졌을 때 극복하는 방법은?,atmosphere,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562781&referrerAllArticles=false
62,562765,티제야~~ 인티제 😲 !!!!,ENFP뇸뮥,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562765&referrerAllArticles=false
63,562615,엔티제에게 힘이 되어주고 싶어요.,라운지infp,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562615&referrerAllArticles=false
64,562601,ENTJ / INTJ 이 차이가 제일 쉬웠어요.,테슈너 INTJㅡT,8,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562601&referrerAllArticles=false
65,562580,블로거님 글 보니깐 생각나서 메모장 열어보니,필연적환상 Entj 3w4,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562580&referrerAllArticles=false
66,562564,이게 사키노바 테스트예요?,entj 편린,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562564&referrerAllArticles=false
67,562551,너무나 intj 스러운 숫자네요 ㅋㅋㅋ,저런intj,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562551&referrerAllArticles=false
68,562538,intj 남자분한테 질문해요,istp냥냥냥,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562538&referrerAllArticles=false
69,562374,INTJ가 ISTJ처럼 보일 수 있다 생각이 드는게,사이INTJ,4,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562374&referrerAllArticles=false
70,562371,"좋은 사람인척하는 가면 말고, 나쁜 사람 가면",JUflux intj 3w2,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562371&referrerAllArticles=false
71,562315,가면을 안쓸 수 있는 용기,JUflux intj 3w2,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562315&referrerAllArticles=false
72,562291,저 드디어 짝남 인티제분이랑 사겨요••🥺,에엥뿌삐,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562291&referrerAllArticles=false
73,562287,인티제 질문 받고 싶습니다,사이INTJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562287&referrerAllArticles=false
74,562257,잠 못자는 엔티제에게 질문 있으신 분,ENTJ 솀,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562257&referrerAllArticles=false
75,562253,Intj와 인간적 호감 이상으로 갈 수 있을까요?,ingfp,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562253&referrerAllArticles=false
76,562190,인티제 분들 빈도암호 잘 푸시나요?,분석 ISTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562190&referrerAllArticles=false
77,562187,인티제 남친 연락없다고 글썻던 이예요,INFPysk,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562187&referrerAllArticles=false
78,562182,엔티제님들 이정도ㅕㄴ면?,seodia24,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562182&referrerAllArticles=false
79,562178,intj 남친에게 너무 속상한데요ㅜㅜ,땅콩 INFP,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562178&referrerAllArticles=false
80,562150,아버지의 연기,Sanggyeong ENTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=562150&referrerAllArticles=false
81,561954,entj 애정결핍 남자의 경우 질문,유니콘,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561954&referrerAllArticles=false
82,561887,제가 단순 반복적인 일을 정말 싫어하는데요,헤이즐넛entj,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561887&referrerAllArticles=false
83,561854,저 요즘 제 스스로가 너무 좋은데.. 어떻해요?,geekychickyxENTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561854&referrerAllArticles=false
84,561849,인티제 남친이 연락이 없는데 무슨 심리일까요,INFPysk,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561849&referrerAllArticles=false
85,561748,Fe에 대한 단상,사이INTJ,9,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561748&referrerAllArticles=false
86,561704,Intj 남자분들 결혼관 알려주세요,안녕엉,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561704&referrerAllArticles=false
87,561628,요즘 삶에 지친 ENTJ친구에게 어떻게하면 힘이날까요. (저는 INFJ),곰고미,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561628&referrerAllArticles=false
88,561567,이슈유튜버들의 S/N 차이를 느꼈던,테슈너 INTJㅡT,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561567&referrerAllArticles=false
89,561553,INTJ 여러분 어느쪽 일하고 계세요?,INTJ 이응,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561553&referrerAllArticles=false
90,561535,제 페르소나는 매우 다양했군요..,intjjjjjjj,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561535&referrerAllArticles=false
91,561440,옆에서 본 entj 친구 특징,오우이 istp 질문,4,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561440&referrerAllArticles=false
92,561422,인티제 여자 질문받아여..!,볼빨간복숭아 intj,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561422&referrerAllArticles=false
93,561409,어제 인티제친구랑 크게 싸웠어요 ㅠ..,쑤아 intp 5w6,5,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561409&referrerAllArticles=false
94,561395,인팁이랑 연애하는 엔티제 질문받아요..!,ENxTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561395&referrerAllArticles=false
95,561379,S와 N의 차이는 생각보다 크다..,ENTJ 구경꾼,5,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561379&referrerAllArticles=false
96,561376,se 열등기능 인티제가 홍보마켓팅 업무를 맡았습니다....,ㅎㅎ intj 5w6,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561376&referrerAllArticles=false
97,561366,심심해서 해보는 여자 엔티제(ENTJ) 질문받아요,지구조미료ENTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561366&referrerAllArticles=false
98,561350,정식검사는 INTJ,INTj1w9,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561350&referrerAllArticles=false
99,561324,인티젭니다 심심해요,잇프피남친괴짜인티제,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561324&referrerAllArticles=false
100,561317,NTJ 화나게 하면 안되는 이유,Epic 4w5 sxsp,7,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561317&referrerAllArticles=false
101,561283,내가 정말 좋아서 그러는건 아냐,K E 로렌스 INTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561283&referrerAllArticles=false
102,561199,요즘 뜸했던 인티제 찬양글,필연적환상 Entj 3w4,8,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=2&userDisplay=50&menuid=12&boardtype=L&articleid=561199&referrerAllArticles=false
103,561146,intj 연락빈도와 애정도 비례하나요?,햇enfpj,4,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=561146&referrerAllArticles=false
104,561136,intj 남자친구의 애정표현,땅콩 INFP,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=561136&referrerAllArticles=false
105,561087,이러다가 나머지 사람들도 다 떨어져 나가는건 아니겠지,혜원 INTJ,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=561087&referrerAllArticles=false
106,561075,성공하기 위해서 필요한 건 OO이다.,Sanggyeong ENTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=561075&referrerAllArticles=false
107,561012,인티제랑 연애하기 넘 힘드네여 ...,엣팁인데 어쩔티비,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=561012&referrerAllArticles=false
108,560981,엔티제 (entj) 남자 생각이 궁금해요 도와주세요...,잇프피슝,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560981&referrerAllArticles=false
109,560923,💖 ENTJ 연애 질문,구름이참예뻐요,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560923&referrerAllArticles=false
110,560915,엔티제 분들,완벽하고싶은 entj,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560915&referrerAllArticles=false
111,560864,인티제 건드리지 마세요..진짜...,망빙,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560864&referrerAllArticles=false
112,560746,엔티제 .. 가 되었습니다..?,코난 ENFJ A 8w9,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560746&referrerAllArticles=false
113,560736,나의 인티제 친구,무민이,7,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560736&referrerAllArticles=false
114,560721,인티제는 낯가림이 없나요 ..?!,띤띤 entp,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560721&referrerAllArticles=false
115,560641,"생각, 말이 예쁜 인티제",ENFP뇸뮥,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560641&referrerAllArticles=false
116,560638,인티제분들의 이상형이 궁금해요,헤세이데INTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560638&referrerAllArticles=false
117,560627,인티제 여 질문받아요,헤세이데INTJ,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560627&referrerAllArticles=false
118,560605,말을 잘 못하겠어요,in티제이,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560605&referrerAllArticles=false
119,560551,Intj분들께,Enfp민,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560551&referrerAllArticles=false
120,560510,백신 안 맞았다고 저를 멸시하시고….,in티제이,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560510&referrerAllArticles=false
121,560486,"intj, istj 님들! 애인과 대화할때요.",Moonstone fp,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560486&referrerAllArticles=false
122,560468,entj 궁금한거 답해드릴게요,완벽하고싶은 entj,2,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560468&referrerAllArticles=false
123,560426,엔티제 여 질문 받아용 ㅋㅋㅋ,geekychickyxENTJ,0,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560426&referrerAllArticles=false
124,560417,인티제의 감정 처리? (부제 : INTJ와 다툰 후),ENFP 지니,5,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560417&referrerAllArticles=false
125,560386,Entj와의 썸.. 조언구해요,우브 엔프피,1,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560386&referrerAllArticles=false
126,560379,Entj 인데 서운함이라는 감정을 잘 모르겠어요…,entj초록,3,https://cafe.naver.com/ArticleRead.nhn?clubid=11856775&page=3&userDisplay=50&menuid=12&boardtype=L&articleid=560379&referrerAllArticles=false
